#{"t_start": 1763486504.285047, "env_id": "CartPole-v1"}
r,l,t
60.0,60,22.739543
51.0,51,22.776173
54.0,54,22.814912
52.0,52,22.852346
68.0,68,22.901049
58.0,58,22.970152
67.0,67,23.018298
59.0,59,23.060697
37.0,37,23.087575
26.0,26,23.106279
134.0,134,23.227593
61.0,61,23.271168
30.0,30,23.292526
68.0,68,23.366333
71.0,71,23.416294
120.0,120,23.500544
38.0,38,23.52749
22.0,22,23.568909
79.0,79,23.623835
38.0,38,23.650892
35.0,35,23.675802
57.0,57,23.716278
72.0,72,23.793141
34.0,34,23.817415
52.0,52,23.854465
36.0,36,23.88015
27.0,27,23.899409
81.0,81,23.983897
117.0,117,24.063939
59.0,59,24.105297
53.0,53,24.142328
48.0,48,24.201088
48.0,48,24.235233
45.0,45,24.267251
106.0,106,24.342639
59.0,59,24.415015
89.0,89,24.476164
70.0,70,24.525519
48.0,48,24.559748
48.0,48,24.620904
57.0,57,24.662719
33.0,33,24.686524
25.0,25,24.704584
39.0,39,24.736382
107.0,107,24.851639
77.0,77,24.906043
41.0,41,24.937033
72.0,72,24.986013
50.0,50,25.052086
72.0,72,25.103064
34.0,34,25.127229
34.0,34,25.151351
68.0,68,25.199842
39.0,39,25.253921
59.0,59,25.295987
38.0,38,25.323056
17.0,17,25.335224
42.0,42,25.365192
34.0,34,25.389422
85.0,85,25.476374
26.0,26,25.494894
35.0,35,25.519788
22.0,22,25.535478
41.0,41,25.564665
64.0,64,25.610003
100.0,100,25.707083
23.0,23,25.723466
28.0,28,25.74334
37.0,37,25.769564
24.0,24,25.786767
24.0,24,25.803782
55.0,55,25.87232
79.0,79,25.928284
37.0,37,25.953506
39.0,39,25.980101
48.0,48,26.012937
59.0,59,26.079662
34.0,34,26.103145
55.0,55,26.141229
39.0,39,26.168319
33.0,33,26.191281
62.0,62,26.235455
49.0,49,26.296897
93.0,93,26.362987
59.0,59,26.405249
54.0,54,26.44262
54.0,54,26.502738
57.0,57,26.542636
56.0,56,26.582146
44.0,44,26.616057
67.0,67,26.662523
27.0,27,26.705382
43.0,43,26.73481
59.0,59,26.775443
71.0,71,26.823658
43.0,43,26.852849
38.0,38,26.903371
44.0,44,26.933349
54.0,54,26.969607
45.0,45,27.000796
58.0,58,27.040938
96.0,96,27.135623
50.0,50,27.173601
31.0,31,27.194693
56.0,56,27.232995
58.0,58,27.297437
31.0,31,27.319067
43.0,43,27.348977
56.0,56,27.387784
44.0,44,27.418582
34.0,34,27.441544
24.0,24,27.458179
72.0,72,27.532853
36.0,36,27.557919
40.0,40,27.585753
50.0,50,27.625768
51.0,51,27.663949
51.0,51,27.730631
42.0,42,27.759879
73.0,73,27.810651
48.0,48,27.844015
36.0,36,27.869097
33.0,33,27.892066
23.0,23,27.934861
44.0,44,27.968664
77.0,77,28.02319
60.0,60,28.064618
43.0,43,28.095069
33.0,33,28.144174
40.0,40,28.172807
51.0,51,28.20959
32.0,32,28.232368
64.0,64,28.278395
65.0,65,28.35079
50.0,50,28.385987
37.0,37,28.412684
88.0,88,28.475964
31.0,31,28.49805
43.0,43,28.56135
90.0,90,28.624035
56.0,56,28.663629
47.0,47,28.696869
65.0,65,28.766652
65.0,65,28.812081
30.0,30,28.833122
86.0,86,28.893323
39.0,39,28.920585
81.0,81,29.010102
38.0,38,29.037406
43.0,43,29.068314
100.0,100,29.140953
56.0,56,29.211267
38.0,38,29.238282
54.0,54,29.276867
26.0,26,29.295341
80.0,80,29.352077
50.0,50,29.413727
57.0,57,29.456897
28.0,28,29.476868
46.0,46,29.509596
46.0,46,29.542312
14.0,14,29.552317
62.0,62,29.621828
34.0,34,29.64602
33.0,33,29.669841
42.0,42,29.699687
39.0,39,29.727286
53.0,53,29.764969
44.0,44,29.821691
59.0,59,29.863622
69.0,69,29.912644
49.0,49,29.952263
23.0,23,29.968167
39.0,39,30.021282
52.0,52,30.058847
44.0,44,30.09101
12.0,12,30.099664
57.0,57,30.140438
30.0,30,30.162538
70.0,70,30.238192
27.0,27,30.256891
47.0,47,30.290232
91.0,91,30.354728
25.0,25,30.372543
36.0,36,30.398109
44.0,44,30.455244
47.0,47,30.488703
67.0,67,30.536281
43.0,43,30.566888
54.0,54,30.605316
40.0,40,30.65739
38.0,38,30.684295
46.0,46,30.716883
84.0,84,30.776185
64.0,64,30.821405
40.0,40,30.878024
39.0,39,30.90561
50.0,50,30.941045
23.0,23,30.957351
25.0,25,30.975101
41.0,41,31.003474
33.0,33,31.025982
76.0,76,31.102716
40.0,40,31.131922
26.0,26,31.150927
48.0,48,31.185916
29.0,29,31.207051
45.0,45,31.239785
55.0,55,31.30671
25.0,25,31.324906
48.0,48,31.359789
25.0,25,31.377981
22.0,22,31.394101
42.0,42,31.425647
71.0,71,31.515982
63.0,63,31.574226
56.0,56,31.626496
57.0,57,31.667976
41.0,41,31.697801
97.0,97,31.802468
24.0,24,31.819567
28.0,28,31.839398
67.0,67,31.886764
53.0,53,31.951911
35.0,35,31.976324
63.0,63,32.018658
63.0,63,32.061176
30.0,30,32.08123
22.0,22,32.097835
61.0,61,32.16632
60.0,60,32.214515
40.0,40,32.242346
60.0,60,32.283903
38.0,38,32.310201
57.0,57,32.373991
83.0,83,32.432984
31.0,31,32.459651
39.0,39,32.48637
56.0,56,32.52505
27.0,27,32.570177
25.0,25,32.587932
44.0,44,32.61903
37.0,37,32.645188
20.0,20,32.659386
53.0,53,32.696835
65.0,65,32.742788
28.0,28,32.787985
67.0,67,32.8362
54.0,54,32.875095
58.0,58,32.916895
22.0,22,32.936025
65.0,65,33.01607
24.0,24,33.032809
35.0,35,33.057162
37.0,37,33.08287
21.0,21,33.09747
73.0,73,33.148055
97.0,97,33.256929
29.0,29,33.277026
51.0,51,33.312243
44.0,44,33.342636
65.0,65,33.388933
17.0,17,33.428992
43.0,43,33.469064
41.0,41,33.502798
15.0,15,33.513239
51.0,51,33.548751
50.0,50,33.585582
38.0,38,33.613605
58.0,58,33.682345
52.0,52,33.720392
36.0,36,33.746869
85.0,85,33.809238
76.0,76,33.891966
66.0,66,33.940596
27.0,27,33.960454
75.0,75,34.018164
57.0,57,34.089936
44.0,44,34.120899
43.0,43,34.150855
34.0,34,34.17492
61.0,61,34.217368
41.0,41,34.246212
50.0,50,34.306412
131.0,131,34.396966
33.0,33,34.419795
45.0,45,34.449719
54.0,54,34.514162
26.0,26,34.532654
71.0,71,34.582985
39.0,39,34.610616
86.0,86,34.672492
35.0,35,34.728731
32.0,32,34.752393
65.0,65,34.800823
38.0,38,34.829068
31.0,31,34.852066
57.0,57,34.921775
24.0,24,34.938865
42.0,42,34.967422
37.0,37,34.993042
31.0,31,35.014572
67.0,67,35.060889
23.0,23,35.076837
33.0,33,35.124774
72.0,72,35.174126
47.0,47,35.206677
83.0,83,35.264011
79.0,79,35.343399
40.0,40,35.37115
41.0,41,35.399655
48.0,48,35.43644
131.0,131,35.551527
63.0,63,35.595476
83.0,83,35.653228
44.0,44,35.683699
63.0,63,35.757669
92.0,92,35.822637
22.0,22,35.837936
32.0,32,35.860145
34.0,34,35.884165
27.0,27,35.903242
77.0,77,35.990802
73.0,73,36.044999
52.0,52,36.083484
31.0,31,36.106576
26.0,26,36.125137
20.0,20,36.170236
52.0,52,36.207008
71.0,71,36.25717
42.0,42,36.287316
37.0,37,36.314873
50.0,50,36.351938
45.0,45,36.409649
38.0,38,36.436944
55.0,55,36.476502
26.0,26,36.494995
103.0,103,36.59568
42.0,42,36.625358
25.0,25,36.643373
37.0,37,36.669589
49.0,49,36.704917
52.0,52,36.741665
80.0,80,36.830806
27.0,27,36.851073
51.0,51,36.888913
26.0,26,36.910899
41.0,41,36.939058
38.0,38,36.965362
43.0,43,37.021719
27.0,27,37.040527
51.0,51,37.075709
36.0,36,37.100693
41.0,41,37.129125
33.0,33,37.152001
45.0,45,37.183043
72.0,72,37.258134
44.0,44,37.288583
52.0,52,37.324656
57.0,57,37.363948
25.0,25,37.381264
44.0,44,37.43742
56.0,56,37.476201
34.0,34,37.499824
58.0,58,37.539825
35.0,35,37.564028
59.0,59,37.630444
45.0,45,37.661578
58.0,58,37.701701
27.0,27,37.720392
76.0,76,37.772846
29.0,29,37.792979
39.0,39,37.845247
70.0,70,37.893577
39.0,39,37.920571
39.0,39,37.947528
25.0,25,37.964925
47.0,47,37.998379
24.0,24,38.047053
35.0,35,38.071952
32.0,32,38.09467
98.0,98,38.164781
64.0,64,38.217645
46.0,46,38.275316
67.0,67,38.325633
49.0,49,38.362318
64.0,64,38.41042
68.0,68,38.499741
37.0,37,38.525652
43.0,43,38.556861
38.0,38,38.585717
36.0,36,38.613459
57.0,57,38.660632
25.0,25,38.703054
42.0,42,38.731714
22.0,22,38.747117
47.0,47,38.779852
47.0,47,38.812775
24.0,24,38.829639
77.0,77,38.909739
12.0,12,38.918314
63.0,63,38.962829
42.0,42,38.99254
56.0,56,39.03205
40.0,40,39.060374
62.0,62,39.130837
35.0,35,39.155803
53.0,53,39.19363
36.0,36,39.219309
27.0,27,39.238569
45.0,45,39.270614
87.0,87,39.358696
26.0,26,39.377433
35.0,35,39.402347
63.0,63,39.453817
24.0,24,39.471256
35.0,35,39.495563
34.0,34,39.546542
56.0,56,39.585244
45.0,45,39.616377
64.0,64,39.663917
47.0,47,39.697115
64.0,64,39.782904
43.0,43,39.813441
51.0,51,39.849498
49.0,49,39.884119
38.0,38,39.910942
51.0,51,39.986134
40.0,40,40.015848
46.0,46,40.048654
27.0,27,40.067873
44.0,44,40.099133
21.0,21,40.114827
37.0,37,40.146214
38.0,38,40.201353
39.0,39,40.229004
56.0,56,40.268576
45.0,45,40.300701
42.0,42,40.330539
54.0,54,40.368809
63.0,63,40.444483
74.0,74,40.496779
25.0,25,40.514531
71.0,71,40.56493
37.0,37,40.621768
93.0,93,40.691913
64.0,64,40.738113
83.0,83,40.796726
27.0,27,40.847394
48.0,48,40.881353
50.0,50,40.916727
80.0,80,40.972989
41.0,41,41.001649
65.0,65,41.072725
47.0,47,41.105308
53.0,53,41.14751
29.0,29,41.175002
39.0,39,41.203976
47.0,47,41.263133
58.0,58,41.304446
51.0,51,41.341314
64.0,64,41.38725
38.0,38,41.414539
34.0,34,41.443197
83.0,83,41.53044
40.0,40,41.560243
41.0,41,41.590999
51.0,51,41.629719
53.0,53,41.700757
83.0,83,41.762206
39.0,39,41.791644
47.0,47,41.827106
40.0,40,41.857377
63.0,63,41.93161
45.0,45,41.965667
55.0,55,42.004622
24.0,24,42.021716
42.0,42,42.051745
28.0,28,42.071804
41.0,41,42.101434
67.0,67,42.184751
34.0,34,42.208846
63.0,63,42.25381
64.0,64,42.30021
46.0,46,42.360303
41.0,41,42.39
50.0,50,42.426
51.0,51,42.462469
55.0,55,42.502113
34.0,34,42.526874
26.0,26,42.575816
45.0,45,42.608094
41.0,41,42.637195
42.0,42,42.667154
48.0,48,42.701769
83.0,83,42.789145
55.0,55,42.830723
60.0,60,42.876189
